                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.0177,                0.52707,                0.88021,                0.99872,                      1,                  0.995,                0.67353,                  1.238,                0.52193,                0.95447,               0.006667,               0.006667,               0.006667
                    103,                 1.0235,                0.53018,                0.88247,                0.99885,                      1,                  0.995,                0.71012,                 1.1075,                0.47609,                0.91981,               0.006634,               0.006634,               0.006634
                    104,                 1.0237,                0.52285,                0.85929,                0.99873,                      1,                  0.995,                0.67157,                  1.269,                0.53466,                0.95979,               0.006601,               0.006601,               0.006601
                    105,                 1.0727,                 0.5575,                0.88744,                0.99884,                      1,                  0.995,                0.71106,                 1.1248,                0.48691,                0.92484,               0.006568,               0.006568,               0.006568
                    106,                 1.0738,                0.52791,                0.89645,                0.99865,                      1,                  0.995,                0.64156,                 1.3029,                0.53519,                0.96902,               0.006535,               0.006535,               0.006535
                    107,                 1.0152,                0.53548,                0.88017,                0.99869,                      1,                  0.995,                0.71316,                 1.0956,                0.48219,                0.91959,               0.006502,               0.006502,               0.006502
                    108,                0.93318,                0.50414,                0.87342,                0.99893,                      1,                  0.995,                0.64975,                  1.265,                0.52973,                0.95632,               0.006469,               0.006469,               0.006469
                    109,                0.99327,                0.53297,                0.86972,                0.99863,                      1,                  0.995,                0.70928,                 1.0949,                0.49428,                0.91945,               0.006436,               0.006436,               0.006436
                    110,                0.95442,                0.50923,                0.86525,                0.99884,                      1,                  0.995,                0.67137,                 1.1968,                0.51499,                0.94609,               0.006403,               0.006403,               0.006403
                    111,                 1.0261,                0.53208,                0.88463,                0.99869,                      1,                  0.995,                 0.7186,                 1.0857,                0.47868,                0.92295,                0.00637,                0.00637,                0.00637
                    112,                 1.0356,                0.52771,                0.87379,                0.99867,                      1,                  0.995,                0.68895,                 1.1434,                0.48548,                0.93946,               0.006337,               0.006337,               0.006337
                    113,                 1.0027,                0.51127,                0.88191,                0.99854,                      1,                  0.995,                0.71682,                 1.1224,                0.50017,                0.93216,               0.006304,               0.006304,               0.006304
                    114,                0.99244,                0.52242,                0.88232,                0.99871,                      1,                  0.995,                 0.6557,                 1.2041,                0.49879,                0.95656,               0.006271,               0.006271,               0.006271
                    115,                0.95693,                0.50806,                0.87003,                0.99869,                      1,                  0.995,                0.68657,                 1.1712,                0.49818,                0.94757,               0.006238,               0.006238,               0.006238
                    116,                0.97023,                0.49757,                 0.8736,                0.99873,                      1,                  0.995,                0.67482,                 1.1518,                0.49348,                0.93979,               0.006205,               0.006205,               0.006205
                    117,                0.95874,                0.49775,                0.85943,                0.99887,                      1,                  0.995,                0.68598,                 1.1775,                0.49011,                0.95121,               0.006172,               0.006172,               0.006172
                    118,                0.91391,                0.49461,                0.85819,                0.99881,                      1,                  0.995,                0.70241,                  1.099,                0.47515,                0.91818,               0.006139,               0.006139,               0.006139
                    119,                0.90408,                0.48351,                0.85341,                0.99893,                      1,                  0.995,                0.69162,                 1.1643,                0.51985,                0.94735,               0.006106,               0.006106,               0.006106
                    120,                0.97711,                0.50809,                0.86077,                0.99898,                      1,                  0.995,                0.70428,                 1.0997,                0.49511,                0.92425,               0.006073,               0.006073,               0.006073
                    121,                0.93774,                0.48012,                0.87159,                0.99885,                      1,                  0.995,                0.67486,                 1.2256,                0.50551,                0.96286,                0.00604,                0.00604,                0.00604
                    122,                0.97197,                0.49582,                0.86057,                0.99896,                      1,                  0.995,                 0.7162,                 1.1027,                0.49557,                 0.9283,               0.006007,               0.006007,               0.006007
                    123,                0.93669,                0.48236,                0.86811,                0.99887,                      1,                  0.995,                0.70857,                 1.0857,                0.48123,                0.92419,               0.005974,               0.005974,               0.005974
                    124,                0.93585,                0.49549,                0.86239,                 0.9988,                      1,                  0.995,                0.72079,                 1.0918,                 0.4941,                0.92791,               0.005941,               0.005941,               0.005941
                    125,                0.98324,                0.52328,                0.87783,                0.99874,                      1,                  0.995,                0.71629,                 1.0752,                0.47293,                0.92225,               0.005908,               0.005908,               0.005908
                    126,                0.90966,                0.48417,                0.85365,                0.99895,                      1,                  0.995,                0.70842,                 1.1357,                0.49376,                0.94162,               0.005875,               0.005875,               0.005875
                    127,                  0.935,                0.47972,                0.86476,                0.99894,                      1,                  0.995,                0.70092,                  1.068,                0.47069,                0.91935,               0.005842,               0.005842,               0.005842
